image,gt,pred,err,seconds
img_00.jpg,11,10,1,6.81312370300293
img_01.jpg,7,8,1,4.372123956680298
img_02.jpg,10,13,3,5.1127705574035645
img_03.jpg,3,2,1,3.240981340408325
img_04.jpg,18,14,4,4.055647134780884
img_05.jpg,10,9,1,3.4952468872070312
img_06.jpg,35,14,21,4.492915391921997
img_07.jpg,21,22,1,4.851864814758301
img_08.jpg,35,29,6,5.4607155323028564
img_09.jpg,21,14,7,4.042893409729004
img_10.jpg,20,12,8,3.6802968978881836
img_11.jpg,27,100,73,12.833312749862671
img_12.jpg,51,64,13,6.845224618911743
img_13.jpg,47,44,3,5.662213563919067
img_14.jpg,57,70,13,7.283215284347534
img_15.jpg,49,51,2,6.363799571990967
img_16.jpg,59,52,7,5.6473047733306885
img_17.jpg,61,90,29,7.799957275390625
img_18.jpg,139,None,None,12.908209085464478
img_19.jpg,100,22,78,4.038418769836426
img_20.jpg,83,40,43,5.136661052703857
img_21.jpg,99,61,38,3.7633492946624756
img_22.jpg,162,None,None,3.4348883628845215
img_23.jpg,101,105,4,6.662902593612671
